,Unnamed: 0,yyyy,mm,day,HH_UTC,MM,x,y
10517,10517,2017,12,1,0,15,694169.0641837801,6464523.173400667
10518,10518,2017,12,1,0,45,694205.0139111583,6464505.434044799
10519,10519,2017,12,1,1,15,694227.1325109536,6464515.115138358
10520,10520,2017,12,1,1,45,694163.3707547995,6464520.643572672
10521,10521,2017,12,1,2,15,694145.5050305921,6464509.297603981
10522,10522,2017,12,1,2,45,694200.9960622307,6464529.634062287
10523,10523,2017,12,1,3,15,694187.2599766689,6464508.434265049
10524,10524,2017,12,1,3,45,694196.5898482633,6464517.745832197
10525,10525,2017,12,1,4,15,694199.0730238059,6464511.718920986
10526,10526,2017,12,1,4,45,694211.5455317897,6464512.996723175
10527,10527,2017,12,1,5,15,694195.4444655668,6464500.827102685
10528,10528,2017,12,1,5,45,694246.1416418508,6464505.825498766
10529,10529,2017,12,1,6,15,694238.2756982545,6464478.700476233
10530,10530,2017,12,1,6,45,694250.0503955713,6464456.344964023
10531,10531,2017,12,1,7,15,694205.1090923786,6464453.415147361
10532,10532,2017,12,1,7,45,694225.1073231508,6464450.397309613
10533,10533,2017,12,1,8,15,694193.4398184957,6464442.710525608
10534,10534,2017,12,1,8,45,694204.8159331812,6464427.832355514
10535,10535,2017,12,1,9,15,694175.9240387132,6464413.496765855
10536,10536,2017,12,1,9,45,694195.854308524,6464389.65381988
10537,10537,2017,12,1,10,15,694173.7746771148,6464388.769014173
10538,10538,2017,12,1,10,45,694170.8686409405,6464383.266311363
10539,10539,2017,12,1,11,15,694181.7866450846,6464375.093577641
10540,10540,2017,12,1,11,45,694161.6300373088,6464387.29359246
10541,10541,2017,12,1,12,15,694182.8911825647,6464366.631964839
10542,10542,2017,12,1,12,45,694185.3910169043,6464363.502886421
10543,10543,2017,12,1,13,15,694173.768801467,6464367.085272334
10544,10544,2017,12,1,13,45,694161.7936279502,6464373.803036586
10545,10545,2017,12,1,14,15,694161.5244690239,6464372.138581275
10546,10546,2017,12,1,14,45,694188.3501556017,6464354.56170989
10547,10547,2017,12,1,15,15,694152.6486852784,6464368.195241191
10548,10548,2017,12,1,15,45,694182.7640426868,6464338.01525097
10549,10549,2017,12,1,16,15,694183.4491379296,6464307.627751169
10550,10550,2017,12,1,16,45,694213.9955324434,6464286.369156605
10551,10551,2017,12,1,17,15,694168.0090885523,6464300.57294575
10552,10552,2017,12,1,17,45,694172.5160967022,6464288.735634978
10553,10553,2017,12,1,18,15,694153.6602872761,6464287.469781101
10554,10554,2017,12,1,18,45,694155.7426430281,6464240.36692864
10555,10555,2017,12,1,19,15,694111.0266450759,6464278.778964508
10556,10556,2017,12,2,0,15,693982.2798791304,6464209.680472266
10557,10557,2017,12,2,1,45,693929.1634192541,6464253.671684691
10558,10558,2017,12,2,2,15,693938.3945496925,6464275.122081041
10559,10559,2017,12,2,2,45,693930.7135532165,6464260.339115302
10560,10560,2017,12,2,3,15,693907.2534921268,6464302.859020689
10561,10561,2017,12,2,3,45,693882.1415638695,6464323.337612855
10562,10562,2017,12,2,4,15,693902.5333924368,6464359.491880374
