,Unnamed: 0,yyyy,mm,day,HH_UTC,MM,x,y
5832,5832,2018,7,1,0,15,694059.0414824145,6464589.110500931
5833,5833,2018,7,1,0,45,694056.1377488136,6464587.819103102
5834,5834,2018,7,1,1,15,694060.088556821,6464599.330026779
5835,5835,2018,7,1,1,45,694062.297355117,6464567.782870946
5836,5836,2018,7,1,2,15,694077.7367368324,6464603.258577266
5837,5837,2018,7,1,2,45,694050.7664041808,6464601.635329911
5838,5838,2018,7,1,3,15,694032.5086994733,6464577.19855924
5839,5839,2018,7,1,3,45,694038.256868423,6464603.854872291
5840,5840,2018,7,1,4,15,694057.1923708762,6464623.34082713
5841,5841,2018,7,1,4,45,694053.6407552563,6464586.218537412
5842,5842,2018,7,1,5,15,694048.7437222132,6464569.919616287
5843,5843,2018,7,1,5,45,694045.3709505213,6464572.438168632
5844,5844,2018,7,1,6,15,694034.6406648728,6464589.104737422
5845,5845,2018,7,1,6,45,694046.7550905782,6464629.365916271
5846,5846,2018,7,1,7,15,694037.5862296576,6464587.341242358
5847,5847,2018,7,1,7,45,694031.3337324528,6464621.996415809
5848,5848,2018,7,1,8,15,694034.7610012349,6464590.627032337
5849,5849,2018,7,1,8,45,694043.57035346,6464595.813444014
5850,5850,2018,7,1,9,15,694042.6014652216,6464573.104789838
5851,5851,2018,7,1,9,45,694049.1528882803,6464639.728515807
5852,5852,2018,7,1,10,15,694039.2708797398,6464582.073230736
5853,5853,2018,7,1,10,45,694044.0049723551,6464583.990279961
5854,5854,2018,7,1,11,15,694038.9902233834,6464585.883598363
5855,5855,2018,7,1,11,45,694040.7438709032,6464598.978798716
5856,5856,2018,7,1,12,15,694053.3982758055,6464608.357629885
5857,5857,2018,7,1,12,45,694050.0228264248,6464590.796684348
5858,5858,2018,7,1,13,15,694036.9306189849,6464594.026528486
5859,5859,2018,7,1,13,45,694054.479397081,6464631.994363817
5860,5860,2018,7,1,14,15,694048.1026019327,6464623.078185642
5861,5861,2018,7,1,14,45,694061.0908269916,6464615.74581166
5862,5862,2018,7,1,15,15,694064.585250523,6464628.368996247
5863,5863,2018,7,1,15,45,694069.912682014,6464612.882356335
5864,5864,2018,7,1,16,15,694077.5765476007,6464595.3722476745
5865,5865,2018,7,1,16,45,694076.9795452803,6464601.309371678
5866,5866,2018,7,1,17,15,694066.078953138,6464584.199764211
5867,5867,2018,7,1,17,45,694080.3838080348,6464610.229728056
5868,5868,2018,7,1,18,15,694071.0259255036,6464616.635074711
5869,5869,2018,7,1,18,45,694065.2168892376,6464589.9643755
5870,5870,2018,7,1,19,15,694060.8208243932,6464591.271668665
5871,5871,2018,7,1,19,45,694060.7268453217,6464599.392465335
5872,5872,2018,7,1,20,15,694065.1765745122,6464595.146837267
5873,5873,2018,7,1,20,45,694058.0225485136,6464599.746209734
5874,5874,2018,7,1,21,15,694091.763837103,6464678.7794673685
5875,5875,2018,7,1,21,45,694077.3535528522,6464613.371351424
5876,5876,2018,7,1,22,15,694081.1607677386,6464653.319493056
5877,5877,2018,7,1,22,45,694066.3513042242,6464607.029850943
5878,5878,2018,7,1,23,15,694071.3967350469,6464623.59703493
5879,5879,2018,7,1,23,45,694074.5638139038,6464645.632022797
5880,5880,2018,7,2,0,15,694061.9258314383,6464599.698412324
5881,5881,2018,7,2,0,45,694065.8262062412,6464602.458348592
5882,5882,2018,7,2,1,15,694070.8409245232,6464611.677942554
5883,5883,2018,7,2,1,45,694080.1614785416,6464587.6755916
5884,5884,2018,7,2,2,15,694093.0629001155,6464595.22093821
5885,5885,2018,7,2,2,45,694088.5834963975,6464584.357131635
5886,5886,2018,7,2,3,15,694090.9150173748,6464615.216154186
5887,5887,2018,7,2,3,45,694099.758175576,6464605.973101373
5888,5888,2018,7,2,4,15,694088.6210203314,6464583.852672389
5889,5889,2018,7,2,4,45,694110.190526564,6464628.722672713
5890,5890,2018,7,2,5,15,694076.9062406375,6464587.870324689
5891,5891,2018,7,2,5,45,694094.8043659005,6464625.936910795
5892,5892,2018,7,2,6,15,694106.585297396,6464602.396774652
5893,5893,2018,7,2,6,45,694108.107086598,6464608.4980710205
5894,5894,2018,7,2,7,15,694087.5805841886,6464577.183351873
5895,5895,2018,7,2,7,45,694108.7819651397,6464604.1925599445
5896,5896,2018,7,2,8,15,694105.90019035,6464574.538938745
5897,5897,2018,7,2,8,45,694128.7864430281,6464599.040965525
5898,5898,2018,7,2,9,15,694145.0141639501,6464616.421473241
5899,5899,2018,7,2,9,45,694123.2250125577,6464578.738975027
5900,5900,2018,7,2,10,15,694106.1740064982,6464560.077625588
5901,5901,2018,7,2,10,45,694136.2583561193,6464601.320941032
5902,5902,2018,7,2,11,15,694129.5207633206,6464581.803067666
