,Unnamed: 0,yyyy,mm,day,HH_UTC,MM,x,y
712,712,2016,2,1,0,45,693991.0817946767,6464181.62663054
713,713,2016,2,1,7,15,693857.1253401027,6464254.358815221
714,714,2016,2,1,7,45,693845.7331551078,6464333.382443821
715,715,2016,2,1,8,15,693859.9532729618,6464395.087293062
716,716,2016,2,1,9,15,693859.3202837813,6464399.912104545
717,717,2016,2,1,9,45,693871.7922136529,6464412.447684844
718,718,2016,2,1,10,15,693859.7468881158,6464410.140497578
719,719,2016,2,1,10,45,693853.9966635813,6464394.402752053
720,720,2016,2,1,11,15,693825.3362940422,6464412.378536619
721,721,2016,2,1,11,45,693882.4364707458,6464428.509475619
722,722,2016,2,1,12,15,693853.5956865255,6464363.686774181
723,723,2016,2,1,12,45,693868.6251196059,6464389.876361586
724,724,2016,2,1,13,15,693857.7364211028,6464362.283020597
725,725,2016,2,1,13,45,693871.537146212,6464357.127608047
726,726,2016,2,1,14,15,693810.7665320064,6464308.720294179
727,727,2016,2,1,14,45,693836.9112193013,6464338.595822053
728,728,2016,2,1,15,15,693808.5654605003,6464282.332806774
729,729,2016,2,1,15,45,693884.7115897655,6464297.809614356
730,730,2016,2,1,16,15,693904.0475981244,6464321.970291688
731,731,2016,2,1,16,45,693920.7081305507,6464298.846173187
732,732,2016,2,1,17,15,693870.6508752756,6464293.460741777
733,733,2016,2,1,17,45,693928.187823748,6464339.466870856
734,734,2016,2,1,18,45,693982.2550414795,6464169.759396171
735,735,2016,2,1,20,15,694108.4711623576,6464116.329215028
736,736,2016,2,1,20,45,694117.0746352535,6464146.950329993
737,737,2016,2,1,21,15,694046.705173114,6464187.350994273
738,738,2016,2,1,21,45,694035.1039106025,6464181.804732148
739,739,2016,2,1,22,15,694007.7159248072,6464205.882162368
740,740,2016,2,1,22,45,694005.2060570085,6464263.910433531
741,741,2016,2,1,23,15,694034.9982500639,6464234.594171518
742,742,2016,2,1,23,45,694070.4840453359,6464215.372791502
743,743,2016,2,2,0,15,694077.9908454681,6464261.355278933
744,744,2016,2,2,0,45,694091.4974303447,6464267.260234546
745,745,2016,2,2,1,15,694112.3588142752,6464312.988380587
746,746,2016,2,2,1,45,694121.4379651942,6464321.285925503
747,747,2016,2,2,2,15,694099.9500989699,6464337.618820413
748,748,2016,2,2,2,45,694110.2772644594,6464303.76413876
749,749,2016,2,2,3,15,694110.2769750316,6464281.245049202
750,750,2016,2,2,3,45,694047.8814247604,6464281.6598158525
751,751,2016,2,2,4,15,694068.258630778,6464234.510782784
752,752,2016,2,2,4,45,694039.2265833677,6464238.759120849
753,753,2016,2,2,5,15,694008.6860870246,6464252.682499649
754,754,2016,2,2,5,45,693987.0556850053,6464226.241975791
755,755,2016,2,2,6,15,694000.3128790294,6464212.483441574
756,756,2016,2,2,6,45,693996.9769752288,6464243.051745495
757,757,2016,2,2,7,15,693988.4818221544,6464211.975698811
758,758,2016,2,2,7,45,693959.438209407,6464247.822151462
759,759,2016,2,2,8,15,693928.4787309166,6464258.397148103
760,760,2016,2,2,8,45,693915.5464063471,6464297.25807018
761,761,2016,2,2,9,15,693918.7367015922,6464349.694708115
762,762,2016,2,2,9,45,693917.6310554562,6464355.026667124
763,763,2016,2,2,10,15,693888.9921238935,6464341.842772317
764,764,2016,2,2,10,45,693913.9892009398,6464358.807044826
765,765,2016,2,2,11,15,693922.9025110494,6464357.705556804
766,766,2016,2,2,11,45,693922.4341364019,6464346.033296247
767,767,2016,2,2,12,15,693912.0381122079,6464337.954842626
768,768,2016,2,2,12,45,693920.1691017478,6464344.388452912
769,769,2016,2,2,13,15,693914.606262678,6464339.176965622
770,770,2016,2,2,13,45,693909.3991068613,6464349.787556882
771,771,2016,2,2,14,15,693914.5624170048,6464348.422554255
772,772,2016,2,2,14,45,693909.1226259295,6464346.992638473
773,773,2016,2,2,15,15,693917.5137131189,6464341.707651329
774,774,2016,2,2,15,45,693915.3357216058,6464320.27285917
775,775,2016,2,2,16,15,693925.0703466444,6464340.560542002
776,776,2016,2,2,16,45,693912.0730266054,6464317.590884576
777,777,2016,2,2,17,15,693893.3950440625,6464296.8093172135
778,778,2016,2,2,17,45,693910.7082551753,6464302.778921808
779,779,2016,2,2,18,15,693934.8142832582,6464314.773723837
780,780,2016,2,2,18,45,693936.2524448665,6464317.333895036
781,781,2016,2,2,19,15,693912.9042146254,6464289.156159436
782,782,2016,2,2,19,45,693920.5017511423,6464316.706345103
783,783,2016,2,2,20,15,693922.0388875626,6464321.80267745
784,784,2016,2,2,20,45,693928.2962666126,6464317.221319646
785,785,2016,2,2,21,15,693945.8989967906,6464332.955289488
786,786,2016,2,2,21,45,693922.2211474045,6464269.392677119
787,787,2016,2,2,22,15,693902.8570667428,6464244.486141324
788,788,2016,2,2,22,45,693947.579683405,6464307.421348748
789,789,2016,2,2,23,15,693932.1068391944,6464277.501660256
790,790,2016,2,2,23,45,693922.8873522384,6464261.651037943
791,791,2016,2,3,0,15,693924.2713499567,6464303.039140053
792,792,2016,2,3,0,45,693911.5691308334,6464301.748621689
793,793,2016,2,3,1,15,693933.152789382,6464301.36944098
794,794,2016,2,3,1,45,693936.6967433362,6464315.403010412
795,795,2016,2,3,2,15,693934.7188528505,6464309.944997027
796,796,2016,2,3,2,45,693940.2247510221,6464281.730524232
797,797,2016,2,3,3,15,693956.5945820885,6464268.373055848
798,798,2016,2,3,3,45,693915.7910833752,6464210.496098815
799,799,2016,2,3,4,15,693959.0265290542,6464290.89616742
800,800,2016,2,3,4,45,693957.7591725121,6464307.193167294
