,Unnamed: 0,yyyy,mm,day,HH_UTC,MM,x,y
1848,1848,2016,3,1,3,45,694133.7160476756,6464333.029570073
1849,1849,2016,3,1,5,45,694086.0784567738,6464445.692289633
1850,1850,2016,3,1,6,15,694136.8286718177,6464381.322430288
1851,1851,2016,3,1,7,15,694137.4900813662,6464371.892363359
1852,1852,2016,3,1,8,15,694137.8443885951,6464374.180220597
1853,1853,2016,3,1,9,45,694148.0388466581,6464361.680008409
1854,1854,2016,3,1,10,15,694135.3459251032,6464400.001961578
1855,1855,2016,3,1,10,45,694274.1913890608,6464363.912564094
1856,1856,2016,3,1,11,15,694168.0543681779,6464394.625937856
1857,1857,2016,3,1,11,45,694142.7524377485,6464429.3239471335
1858,1858,2016,3,1,12,15,694185.4898619225,6464455.347487398
1859,1859,2016,3,1,12,45,694119.781313784,6464438.989549109
1860,1860,2016,3,1,13,15,694157.8668744091,6464484.599585583
1861,1861,2016,3,1,13,45,694108.6828092936,6464532.609347237
1862,1862,2016,3,1,14,15,694036.5343051136,6464579.182750192
1863,1863,2016,3,1,14,45,694070.8820182813,6464695.131265136
1864,1864,2016,3,1,15,15,694085.0553195305,6464630.418640006
1865,1865,2016,3,1,22,45,694233.4033395526,6464582.344062422
1866,1866,2016,3,1,23,15,694238.7678243635,6464618.834183797
1867,1867,2016,3,2,3,45,694061.822779791,6464735.4656389365
1868,1868,2016,3,2,4,15,694086.4906738703,6464701.442539316
1869,1869,2016,3,2,4,45,694025.9705905037,6464662.126976381
1870,1870,2016,3,2,5,15,694003.4404582714,6464665.95792225
1871,1871,2016,3,2,5,45,693958.9697544022,6464696.179271842
1872,1872,2016,3,2,6,15,694016.9127281924,6464624.40621646
1873,1873,2016,3,2,6,45,694039.0341001179,6464588.528758462
1874,1874,2016,3,2,7,15,694025.1921539705,6464597.373710824
1875,1875,2016,3,2,7,45,694019.8634186668,6464589.396124283
1876,1876,2016,3,2,8,15,694005.7408094663,6464570.980395064
1877,1877,2016,3,2,8,45,694010.5889388623,6464573.044602544
1878,1878,2016,3,2,9,15,694001.3700586766,6464628.0432498455
1879,1879,2016,3,2,9,45,694018.8592710183,6464564.429272726
1880,1880,2016,3,2,10,15,694004.4865251927,6464558.896061664
1881,1881,2016,3,2,10,45,693984.6619706587,6464541.618047011
1882,1882,2016,3,2,11,15,693998.7056965289,6464554.044558695
1883,1883,2016,3,2,11,45,694008.5047505825,6464551.599512603
1884,1884,2016,3,2,12,15,694017.7686767022,6464633.83950277
1885,1885,2016,3,2,12,45,693991.2571127492,6464548.998255804
1886,1886,2016,3,2,13,15,694019.0984642718,6464549.26415399
1887,1887,2016,3,2,13,45,694012.2782522795,6464570.129295165
1888,1888,2016,3,2,14,15,693978.0563341958,6464552.811891281
1889,1889,2016,3,2,14,45,693969.8597938244,6464558.479669012
1890,1890,2016,3,2,15,15,693959.8684618189,6464556.883951294
1891,1891,2016,3,2,15,45,694005.562515472,6464564.354520864
1892,1892,2016,3,2,16,15,694006.3372543101,6464558.752144215
1893,1893,2016,3,2,16,45,694000.2937882431,6464584.790648975
1894,1894,2016,3,3,7,45,694121.6084533504,6464348.051632231
1895,1895,2016,3,3,8,15,694099.6877851897,6464391.16989344
1896,1896,2016,3,3,8,45,694153.6067835934,6464377.17736996
1897,1897,2016,3,3,9,15,694115.510079678,6464371.378209758
1898,1898,2016,3,3,10,15,694121.7282141866,6464390.202856639
1899,1899,2016,3,3,12,45,694155.6416280045,6464365.525450801
1900,1900,2016,3,3,13,15,694186.6709826575,6464342.020617835
1901,1901,2016,3,3,13,45,694150.9615350419,6464372.93708603
1902,1902,2016,3,3,14,15,694196.8807546359,6464370.121114187
1903,1903,2016,3,3,14,45,694172.3539256522,6464398.261932652
1904,1904,2016,3,3,15,15,694153.7403668823,6464408.319945663
1905,1905,2016,3,3,15,45,694188.5771801762,6464433.547946763
1906,1906,2016,3,3,19,15,694263.4639715101,6464392.554183175
1907,1907,2016,3,3,20,15,694236.5818086254,6464378.268917266
1908,1908,2016,3,3,20,45,694224.5857290055,6464386.181918438
1909,1909,2016,3,3,21,15,694227.0070952803,6464385.813418144
1910,1910,2016,3,3,21,45,694216.2369628985,6464368.286928997
1911,1911,2016,3,3,22,45,694229.134096666,6464398.846723943
1912,1912,2016,3,3,23,45,694243.3622625592,6464355.988979468
1913,1913,2016,3,4,0,45,694240.2164546101,6464383.668478667
1914,1914,2016,3,4,1,15,694227.7801035075,6464387.105493523
1915,1915,2016,3,4,6,45,694155.9435265458,6464429.235341833
1916,1916,2016,3,4,7,45,694109.5478838845,6464462.744369606
1917,1917,2016,3,4,9,45,694115.2312954536,6464488.926577729
1918,1918,2016,3,5,6,45,693955.6965646095,6464565.880232231
1919,1919,2016,3,5,7,45,693990.9803336367,6464567.082260113
1920,1920,2016,3,5,8,45,694017.5669243061,6464593.923315262
1921,1921,2016,3,5,9,15,693992.0823059523,6464557.286996472
1922,1922,2016,3,5,9,45,693958.8523186531,6464574.961853525
1923,1923,2016,3,5,10,45,693976.9248397984,6464559.793139001
1924,1924,2016,3,5,11,15,693971.2300692133,6464567.722514114
1925,1925,2016,3,5,11,45,693983.598853294,6464567.166824224
1926,1926,2016,3,5,12,15,693974.9600990963,6464611.790258923
1927,1927,2016,3,5,12,45,693954.9840459066,6464610.118962507
1928,1928,2016,3,5,13,15,693974.6571575976,6464542.268674876
1929,1929,2016,3,5,14,15,693974.4472922708,6464515.74297869
1930,1930,2016,3,6,7,15,694030.4690321076,6464290.447275554
1931,1931,2016,3,6,7,45,693993.4874506444,6464278.2472137045
1932,1932,2016,3,6,8,45,694016.799646069,6464325.0857308805
1933,1933,2016,3,6,9,15,694036.8776657314,6464288.945242328
1934,1934,2016,3,6,9,45,694053.278167202,6464300.290104745
1935,1935,2016,3,6,10,15,694087.8513628852,6464329.261588227
1936,1936,2016,3,6,10,45,694112.6642177809,6464294.304486944
1937,1937,2016,3,6,11,15,694179.2644110289,6464306.736002067
1938,1938,2016,3,6,11,45,694106.1865263754,6464393.06747556
1939,1939,2016,3,6,12,15,694164.9701736942,6464390.627661274
1940,1940,2016,3,6,12,45,694171.7267905634,6464390.443685955
1941,1941,2016,3,6,13,15,694133.0989064581,6464407.355044487
1942,1942,2016,3,6,13,45,694126.5740889093,6464409.559309076
1943,1943,2016,3,6,14,15,694176.8609293387,6464404.684536322
1944,1944,2016,3,6,14,45,694179.5832709977,6464409.344370243
1945,1945,2016,3,6,15,15,694218.0502471897,6464391.281198508
1946,1946,2016,3,6,15,45,694227.1032718719,6464404.144147849
1947,1947,2016,3,6,16,15,694260.3793284246,6464399.284976794
1948,1948,2016,3,6,16,45,694232.2871008567,6464416.260208144
1949,1949,2016,3,6,17,15,694182.5426338,6464414.990387876
1950,1950,2016,3,6,17,45,694189.1315125972,6464409.105346251
1951,1951,2016,3,6,18,15,694213.194331242,6464388.459528356
1952,1952,2016,3,6,18,45,694211.4251653609,6464387.243393989
1953,1953,2016,3,6,19,15,694171.133677074,6464390.31447636
1954,1954,2016,3,6,19,45,694162.4689379599,6464393.805092651
1955,1955,2016,3,6,20,15,694184.15407763,6464377.569737506
1956,1956,2016,3,6,20,45,694156.020137703,6464381.903241866
1957,1957,2016,3,6,21,15,694196.5982677462,6464369.520017541
1958,1958,2016,3,6,21,45,694167.0891890341,6464378.336840289
1959,1959,2016,3,6,22,15,694175.6106414043,6464381.187723524
1960,1960,2016,3,6,22,45,694170.9801691768,6464383.453928794
1961,1961,2016,3,6,23,15,694175.4824088846,6464358.09174793
1962,1962,2016,3,6,23,45,694180.3762230343,6464363.622286678
1963,1963,2016,3,7,0,15,694192.5239178323,6464394.776338784
1964,1964,2016,3,7,0,45,694164.3538122581,6464377.624670537
1965,1965,2016,3,7,1,15,694161.4166982869,6464347.847047919
1966,1966,2016,3,7,1,45,694199.6775495985,6464349.630333837
1967,1967,2016,3,7,2,15,694199.0405270625,6464366.645989883
1968,1968,2016,3,7,2,45,694192.3737489933,6464365.34188271
1969,1969,2016,3,7,3,15,694175.3112082644,6464362.456287622
1970,1970,2016,3,7,3,45,694180.9495838498,6464370.911758923
1971,1971,2016,3,7,4,15,694178.5998870116,6464363.792307772
1972,1972,2016,3,7,4,45,694153.7059029965,6464373.701262336
1973,1973,2016,3,7,5,15,694175.1661852552,6464354.6664615255
1974,1974,2016,3,7,5,45,694170.8816518028,6464354.618063131
1975,1975,2016,3,7,6,15,694203.3982315679,6464341.170906925
1976,1976,2016,3,7,6,45,694176.6703760538,6464349.817127891
1977,1977,2016,3,7,7,15,694195.4790343582,6464351.426966148
1978,1978,2016,3,7,7,45,694209.9738981221,6464348.880339887
1979,1979,2016,3,7,8,15,694178.0335775405,6464323.567597532
1980,1980,2016,3,7,8,45,694176.498205478,6464301.872142687
1981,1981,2016,3,7,9,15,694186.0978501417,6464307.483990764
1982,1982,2016,3,7,9,45,694162.0927763805,6464312.353679987
1983,1983,2016,3,7,10,15,694193.759175014,6464287.482542408
1984,1984,2016,3,7,10,45,694174.5444853557,6464284.795615453
1985,1985,2016,3,7,11,15,694126.8544555029,6464303.528411127
