,Unnamed: 0,yyyy,mm,day,HH_UTC,MM,x,y
1976,1976,2017,3,1,0,45,693970.4751243757,6464115.114826361
1977,1977,2017,3,1,1,15,693955.2232279859,6464213.463574472
1978,1978,2017,3,1,1,45,693919.8636561888,6464293.341656666
1979,1979,2017,3,1,2,15,693873.6117751658,6464261.569753967
1980,1980,2017,3,1,7,15,694129.6961242803,6464291.267539221
1981,1981,2017,3,1,7,45,694138.2862082255,6464308.741375687
1982,1982,2017,3,1,8,15,694165.6715332721,6464257.8399175815
1983,1983,2017,3,1,8,45,694128.14337098,6464346.553560626
1984,1984,2017,3,1,9,15,694127.5325182381,6464335.447184199
1985,1985,2017,3,1,9,45,694093.5340294352,6464340.304351214
1986,1986,2017,3,1,10,15,694184.8222356752,6464360.922755583
1987,1987,2017,3,1,10,45,694123.1598015282,6464449.056991799
1988,1988,2017,3,1,11,15,694125.9929379246,6464470.046439774
1989,1989,2017,3,1,11,45,694181.9788355818,6464419.484047428
1990,1990,2017,3,1,12,15,694155.7017367108,6464416.865021618
1991,1991,2017,3,1,12,45,694155.7296305201,6464403.720164238
1992,1992,2017,3,1,13,15,694187.3151115505,6464389.021469338
1993,1993,2017,3,1,13,45,694211.8289416595,6464363.837024796
1994,1994,2017,3,1,14,15,694228.9053523887,6464350.698665144
1995,1995,2017,3,1,14,45,694184.2423015136,6464335.901435206
1996,1996,2017,3,1,15,15,694121.9148658563,6464292.976911701
1997,1997,2017,3,1,15,45,694108.2473643895,6464271.690920269
1998,1998,2017,3,1,16,15,694111.720933716,6464285.665409328
1999,1999,2017,3,1,16,45,694129.488942491,6464248.75000714
2000,2000,2017,3,1,17,15,694077.9701667282,6464229.018107233
2001,2001,2017,3,1,17,45,694002.4421397859,6464246.080673789
2002,2002,2017,3,1,18,15,693938.2074142273,6464273.199620309
2003,2003,2017,3,1,18,45,693958.2679471256,6464290.917878294
2004,2004,2017,3,1,19,15,693928.6877106967,6464284.761591179
2005,2005,2017,3,1,19,45,693897.2031658358,6464341.876011971
2006,2006,2017,3,1,20,15,693925.3001217726,6464366.015940915
2007,2007,2017,3,1,20,45,693917.4730572958,6464356.04425798
2008,2008,2017,3,1,21,15,693904.3748490601,6464359.577168183
2009,2009,2017,3,1,21,45,693915.5845677312,6464356.431984641
2010,2010,2017,3,1,22,15,693904.344676344,6464327.312256769
2011,2011,2017,3,1,22,45,693921.6317165111,6464300.952552113
2012,2012,2017,3,1,23,15,693929.2442087607,6464315.0605241945
2013,2013,2017,3,1,23,45,693906.6785027836,6464339.148414302
2014,2014,2017,3,2,0,15,693901.8495260361,6464347.641213439
2015,2015,2017,3,2,0,45,693915.560777397,6464329.053479569
2016,2016,2017,3,2,1,15,693938.3327574681,6464283.548915886
2017,2017,2017,3,2,1,45,693954.4085361545,6464267.865753067
2018,2018,2017,3,2,2,15,693958.3339311803,6464282.571381156
2019,2019,2017,3,2,2,45,693973.6000090285,6464234.078177127
2020,2020,2017,3,2,3,15,693972.907022544,6464169.212977191
2021,2021,2017,3,2,3,45,693996.5928869635,6464202.290958827
2022,2022,2017,3,2,4,45,694016.2844796367,6464210.728111174
