,Unnamed: 0,yyyy,mm,day,HH_UTC,MM,x,y
9485,9485,2017,11,1,0,15,693809.1039339744,6464464.661331194
9486,9486,2017,11,1,0,45,693804.0578906322,6464462.099719691
9487,9487,2017,11,1,1,15,693782.885267769,6464468.186405118
9488,9488,2017,11,1,3,45,693819.1215440034,6464350.25085853
9489,9489,2017,11,1,4,15,693816.7526007199,6464363.352312357
9490,9490,2017,11,1,7,45,693882.7510541972,6464332.49444546
9491,9491,2017,11,1,8,15,693922.3094867569,6464360.946530981
9492,9492,2017,11,1,8,45,693920.6730290159,6464334.970797293
9493,9493,2017,11,1,9,45,693954.8974523842,6464341.459335052
9494,9494,2017,11,1,10,15,693951.7667346381,6464327.855914262
9495,9495,2017,11,2,5,15,694238.4348462026,6464320.142782482
9496,9496,2017,11,2,5,45,694214.1109697763,6464345.620971696
9497,9497,2017,11,2,6,15,694182.5168765362,6464364.273586211
9498,9498,2017,11,2,6,45,694207.2032720416,6464372.326021249
9499,9499,2017,11,2,7,15,694163.4694237546,6464383.818117002
9500,9500,2017,11,2,7,45,694182.246735775,6464397.557171014
9501,9501,2017,11,2,8,15,694193.1154826176,6464396.585522646
9502,9502,2017,11,2,8,45,694177.4181640411,6464404.384694819
9503,9503,2017,11,2,9,15,694158.3978008376,6464402.130822203
9504,9504,2017,11,2,9,45,694199.3382736719,6464390.889266838
9505,9505,2017,11,2,10,15,694159.5703152196,6464404.043235063
9506,9506,2017,11,2,10,45,694232.2229136277,6464374.771580575
9507,9507,2017,11,2,11,15,694166.5565139937,6464407.549492406
9508,9508,2017,11,2,11,45,694177.4299330013,6464404.246661741
9509,9509,2017,11,2,12,15,694149.4185847428,6464413.652316495
9510,9510,2017,11,2,12,45,694155.6590964443,6464405.245024786
9511,9511,2017,11,2,13,15,694165.6244714751,6464408.687697912
9512,9512,2017,11,2,13,45,694174.215226163,6464417.005119145
9513,9513,2017,11,2,14,15,694193.0218324559,6464433.850912395
9514,9514,2017,11,2,14,45,694207.145506806,6464441.952354873
9515,9515,2017,11,2,15,15,694177.5988331503,6464442.064614688
9516,9516,2017,11,2,15,45,694199.5168544536,6464458.041233271
9517,9517,2017,11,2,16,15,694206.7772264418,6464458.735452295
9518,9518,2017,11,2,16,45,694211.9911791458,6464445.244409367
9519,9519,2017,11,2,17,45,694194.5496073297,6464461.19411636
9520,9520,2017,11,3,7,15,693876.2872999792,6464416.237358255
9521,9521,2017,11,3,7,45,693888.3124488081,6464386.644700997
9522,9522,2017,11,3,8,15,693882.9107622294,6464389.220258636
9523,9523,2017,11,3,8,45,693885.9311969248,6464393.483425873
9524,9524,2017,11,3,9,15,693911.3791780184,6464410.316046555
9525,9525,2017,11,3,9,45,693912.101108527,6464387.753536342
9526,9526,2017,11,3,10,15,693855.5926418052,6464370.065756911
9527,9527,2017,11,3,10,45,693867.3699089441,6464399.851598728
9528,9528,2017,11,3,11,15,693898.7628068031,6464400.706976588
9529,9529,2017,11,3,11,45,693875.7090296907,6464406.654666836
9530,9530,2017,11,3,12,15,693862.8757664628,6464432.585763203
9531,9531,2017,11,3,12,45,693886.4450789036,6464461.561212878
9532,9532,2017,11,3,13,15,693881.4040952503,6464471.181169472
9533,9533,2017,11,3,13,45,693872.5871077398,6464458.835660487
9534,9534,2017,11,3,14,15,693854.1192668363,6464397.374853455
9535,9535,2017,11,3,14,45,693784.5060526705,6464407.652822431
9536,9536,2017,11,3,22,45,693920.1206608488,6464048.048204321
9537,9537,2017,11,3,23,15,693938.3782712147,6464050.428404895
9538,9538,2017,11,3,23,45,693923.3464540319,6464101.871994122
9539,9539,2017,11,4,0,15,693885.9895622487,6464072.281572801
9540,9540,2017,11,4,1,45,693963.1420542862,6464130.251728495
9541,9541,2017,11,4,2,15,693991.0245464582,6464098.5697666
9542,9542,2017,11,4,3,15,694026.5395346627,6464130.064346277
9543,9543,2017,11,4,4,15,694027.9431103292,6464098.4693213785
9544,9544,2017,11,4,4,45,694038.0452477854,6464107.803950924
9545,9545,2017,11,4,5,15,694007.0510896415,6464193.789620565
9546,9546,2017,11,4,5,45,694015.9698289,6464225.755721997
9547,9547,2017,11,4,6,15,693983.4049572622,6464181.356241856
9548,9548,2017,11,4,6,45,693988.9558907644,6464222.093185948
9549,9549,2017,11,4,7,15,693986.4494220058,6464152.902261325
9550,9550,2017,11,4,7,45,693990.4690712175,6464301.427294795
9551,9551,2017,11,4,8,15,693991.5990209616,6464277.960345484
9552,9552,2017,11,4,8,45,693964.3119792129,6464279.624779353
9553,9553,2017,11,4,9,15,693964.4071966496,6464257.842686526
9554,9554,2017,11,4,9,45,693993.6478998497,6464191.614903928
9555,9555,2017,11,4,10,15,693998.8718586197,6464262.291457821
9556,9556,2017,11,4,10,45,693972.9051031623,6464257.812838296
9557,9557,2017,11,4,11,15,693972.5558398,6464330.111478614
9558,9558,2017,11,4,11,45,693959.2651429832,6464286.466557247
9559,9559,2017,11,4,12,15,693965.3544522274,6464265.886254376
9560,9560,2017,11,4,12,45,693977.2038172048,6464293.977248865
9561,9561,2017,11,4,13,15,694002.5437641138,6464238.410193363
9562,9562,2017,11,4,13,45,693996.0127658264,6464243.429122655
9563,9563,2017,11,4,14,15,693977.788392354,6464222.009243346
9564,9564,2017,11,4,14,45,693984.1537044633,6464253.360579572
9565,9565,2017,11,4,15,15,693956.6077884973,6464252.008401621
9566,9566,2017,11,4,15,45,693966.9191304563,6464249.551822119
9567,9567,2017,11,4,16,15,693968.1368311599,6464205.585259377
9568,9568,2017,11,4,16,45,693975.0521876153,6464247.870573845
9569,9569,2017,11,4,17,15,693973.1008648202,6464310.493170073
9570,9570,2017,11,4,17,45,693974.384381386,6464287.5507338615
9571,9571,2017,11,4,18,15,693974.1055660833,6464251.364121584
9572,9572,2017,11,4,18,45,693991.8157338738,6464253.3523684
9573,9573,2017,11,4,19,15,693989.5153647423,6464297.7174228495
9574,9574,2017,11,4,19,45,693971.1966844379,6464277.334634535
9575,9575,2017,11,4,20,15,693969.8427146435,6464249.931411846
9576,9576,2017,11,4,20,45,693987.2381517058,6464193.476300032
9577,9577,2017,11,4,21,15,693988.3338901481,6464279.31145026
9578,9578,2017,11,4,21,45,693987.9049734462,6464271.050851986
9579,9579,2017,11,4,22,15,693980.0639167221,6464278.867914768
9580,9580,2017,11,4,22,45,693967.1230991491,6464255.414967532
