,Unnamed: 0,yyyy,mm,day,HH_UTC,MM,x,y
1904,1904,2018,3,1,0,15,694182.2441694564,6464628.423416747
1905,1905,2018,3,1,7,15,694035.6970118097,6464594.996575635
1906,1906,2018,3,1,7,45,694004.7309563934,6464637.09414212
1907,1907,2018,3,1,8,15,694007.0374212883,6464604.097442499
1908,1908,2018,3,1,8,45,694024.6712247817,6464551.215296848
1909,1909,2018,3,1,9,15,694029.8713330706,6464561.446547509
1910,1910,2018,3,1,9,45,694042.1539223043,6464569.896582747
1911,1911,2018,3,1,10,15,694042.7405782917,6464539.822119854
1912,1912,2018,3,1,10,45,694046.5809129978,6464657.810526703
1913,1913,2018,3,1,11,15,694038.461055156,6464597.389592106
1914,1914,2018,3,1,11,45,694028.8132118132,6464569.008572292
1915,1915,2018,3,1,12,15,694016.57480776,6464608.815122526
1916,1916,2018,3,1,12,45,694036.0768183237,6464595.330920846
1917,1917,2018,3,1,13,15,694072.8710230341,6464598.668815798
1918,1918,2018,3,1,13,45,694083.3529117281,6464566.609659624
1919,1919,2018,3,1,14,15,694101.8119482975,6464585.044901472
1920,1920,2018,3,1,14,45,694092.0785377289,6464571.476587445
1921,1921,2018,3,1,15,15,694119.3806782238,6464594.782851573
1922,1922,2018,3,2,7,15,694116.7755218511,6464624.005984331
1923,1923,2018,3,2,7,45,694092.1797638047,6464545.0454700645
1924,1924,2018,3,2,8,15,694089.8911090475,6464535.091368102
1925,1925,2018,3,2,8,45,694084.7012878006,6464532.736826172
1926,1926,2018,3,2,9,15,694072.5586252788,6464538.93533737
1927,1927,2018,3,2,9,45,694098.4691903917,6464551.217268845
1928,1928,2018,3,2,10,15,694043.921914902,6464578.101641985
1929,1929,2018,3,2,10,45,694018.8955486934,6464569.026806203
1930,1930,2018,3,2,11,15,694015.6857956148,6464530.840632051
1931,1931,2018,3,2,11,45,694007.6323542551,6464547.417655246
1932,1932,2018,3,2,12,45,694003.7840350966,6464537.00795027
1933,1933,2018,3,2,13,15,694003.6146490359,6464540.741445277
1934,1934,2018,3,2,13,45,694033.4889503688,6464544.512587655
1935,1935,2018,3,2,14,15,694020.0080602292,6464520.11651828
1936,1936,2018,3,2,15,45,694144.6354421302,6464466.755338784
1937,1937,2018,3,2,16,15,694152.9783277937,6464394.052362218
1938,1938,2018,3,2,16,45,694170.6009760689,6464384.850824691
1939,1939,2018,3,2,17,15,694188.8006278133,6464417.975407653
1940,1940,2018,3,2,17,45,694182.2305359193,6464427.071429916
1941,1941,2018,3,2,18,15,694206.1536311848,6464396.628925338
1942,1942,2018,3,2,18,45,694213.368778801,6464372.922473863
1943,1943,2018,3,2,19,15,694206.9102320054,6464381.4803883415
1944,1944,2018,3,2,19,45,694197.9870094243,6464352.534169964
1945,1945,2018,3,3,9,15,694080.7479452222,6464496.918005025
1946,1946,2018,3,3,10,15,694120.6922362207,6464467.884972703
1947,1947,2018,3,3,10,45,694089.7188306611,6464365.29408016
1948,1948,2018,3,3,11,15,694143.6763533485,6464301.07431417
1949,1949,2018,3,3,11,45,694104.0933429636,6464358.136523973
1950,1950,2018,3,3,12,15,694105.8189333094,6464339.293526353
1951,1951,2018,3,3,12,45,694073.7962814318,6464405.721991735
1952,1952,2018,3,3,13,15,694094.1278327769,6464528.303246075
1953,1953,2018,3,3,14,15,694031.6019683677,6464587.84728527
1954,1954,2018,3,3,14,45,693996.3622874058,6464581.024037338
1955,1955,2018,3,4,5,45,693909.424637445,6464782.268816823
1956,1956,2018,3,4,6,15,693955.8077338536,6464679.91663708
1957,1957,2018,3,4,6,45,693979.1174674582,6464643.244756693
1958,1958,2018,3,4,7,15,694003.5020996487,6464626.312280762
1959,1959,2018,3,4,7,45,694009.7919471319,6464580.216332543
1960,1960,2018,3,4,8,15,694019.1562501574,6464577.073729646
1961,1961,2018,3,4,8,45,693980.2517945571,6464584.43962735
1962,1962,2018,3,4,9,15,693945.4847462593,6464582.110906424
1963,1963,2018,3,4,9,45,693963.6256095668,6464558.831343132
1964,1964,2018,3,4,10,15,693981.9342993126,6464550.604313812
1965,1965,2018,3,4,10,45,693979.711294401,6464582.317665584
1966,1966,2018,3,4,11,15,693973.9118358511,6464547.755765786
1967,1967,2018,3,4,11,45,693963.941605625,6464563.455158261
1968,1968,2018,3,4,12,15,693979.589422765,6464537.0791187165
1969,1969,2018,3,4,12,45,693981.9287013462,6464550.458561234
1970,1970,2018,3,4,13,15,693963.8202281813,6464581.463596806
1971,1971,2018,3,4,13,45,693956.3637414171,6464592.902927565
1972,1972,2018,3,4,14,15,693975.9024867025,6464568.5824600505
1973,1973,2018,3,4,14,45,693949.7268822993,6464616.797654819
1974,1974,2018,3,4,15,15,693961.6814672772,6464586.865470373
1975,1975,2018,3,4,15,45,693946.280911709,6464649.175300215
1976,1976,2018,3,4,16,15,693953.9005653001,6464626.999990252
1977,1977,2018,3,4,16,45,693960.0468010798,6464654.665840598
1978,1978,2018,3,4,17,15,693956.7115520284,6464608.264989075
1979,1979,2018,3,4,17,45,693965.2895717103,6464629.145025604
1980,1980,2018,3,4,18,15,693965.1319660505,6464621.053038857
1981,1981,2018,3,4,18,45,693933.2480829157,6464662.172854621
1982,1982,2018,3,4,19,15,693961.5269257247,6464616.776415262
1983,1983,2018,3,4,19,45,693975.1973703378,6464629.804213635
1984,1984,2018,3,4,20,15,694005.7521555136,6464692.503357337
1985,1985,2018,3,4,20,45,693983.9017543092,6464684.1908578575
1986,1986,2018,3,5,9,15,694065.955981311,6464481.934641114
1987,1987,2018,3,5,9,45,694111.2451289,6464474.947715725
1988,1988,2018,3,5,10,15,694097.5872873336,6464441.248061175
1989,1989,2018,3,5,10,45,694083.409627462,6464368.664346651
1990,1990,2018,3,5,11,45,694100.9350877566,6464351.3941049855
1991,1991,2018,3,5,12,15,694088.9209997731,6464395.605692974
1992,1992,2018,3,5,12,45,694116.5175154373,6464384.304306604
1993,1993,2018,3,5,13,15,694121.8104790438,6464390.994067497
1994,1994,2018,3,5,13,45,694136.0279006674,6464392.7487945305
1995,1995,2018,3,5,14,15,694172.7906542263,6464353.113578007
1996,1996,2018,3,5,14,45,694190.4618020817,6464373.500327369
1997,1997,2018,3,5,21,15,694362.266654311,6464369.835220031
1998,1998,2018,3,5,21,45,694261.8423793616,6464367.901748578
1999,1999,2018,3,5,22,15,694245.9462913708,6464361.783647756
2000,2000,2018,3,5,22,45,694230.4938659053,6464356.380885667
2001,2001,2018,3,5,23,15,694205.3880062909,6464369.549842855
2002,2002,2018,3,5,23,45,694244.4546705376,6464364.630112052
2003,2003,2018,3,6,0,15,694231.898293603,6464351.177450999
2004,2004,2018,3,6,0,45,694260.4114772305,6464380.261013367
2005,2005,2018,3,6,1,15,694248.9808812188,6464395.41033096
2006,2006,2018,3,6,1,45,694232.5514403245,6464393.385385165
2007,2007,2018,3,6,2,15,694230.5691095389,6464371.510666848
2008,2008,2018,3,6,2,45,694184.7052257841,6464369.213738435
2009,2009,2018,3,6,3,15,694180.9109377456,6464390.427244768
2010,2010,2018,3,6,3,45,694168.8301696219,6464405.043613888
2011,2011,2018,3,6,4,15,694175.3343565608,6464397.440269575
2012,2012,2018,3,6,4,45,694181.5861164295,6464404.773528043
2013,2013,2018,3,6,5,15,694213.9637243795,6464397.531350867
2014,2014,2018,3,6,5,45,694180.8448501305,6464402.059700468
2015,2015,2018,3,6,6,15,694179.8204083577,6464399.509493097
2016,2016,2018,3,6,6,45,694224.4052770714,6464384.02526156
2017,2017,2018,3,6,7,15,694177.2738387291,6464394.476752739
2018,2018,2018,3,6,7,45,694201.06699781,6464385.344251288
2019,2019,2018,3,6,8,15,694182.3149983487,6464393.113319732
2020,2020,2018,3,6,8,45,694152.1370430675,6464404.937906685
