,Unnamed: 0,yyyy,mm,day,HH_UTC,MM,x,y
6493,6493,2020,7,1,0,15,694007.5617865131,6464246.364149951
6494,6494,2020,7,1,0,45,694015.8877078485,6464214.094501707
6495,6495,2020,7,1,1,15,694015.0901436115,6464264.58317596
6496,6496,2020,7,1,1,45,693993.7494338847,6464246.681959898
6497,6497,2020,7,1,2,15,694003.1448561084,6464251.547507374
6498,6498,2020,7,1,2,45,694013.817001356,6464251.347087983
6499,6499,2020,7,1,3,15,694004.2534001062,6464242.170398682
6500,6500,2020,7,1,3,45,694006.9104583595,6464270.775806529
6501,6501,2020,7,1,4,15,694001.5595983743,6464216.8633878045
6502,6502,2020,7,1,4,45,694001.6811658569,6464234.664715505
6503,6503,2020,7,1,5,15,694017.47621078,6464286.153088441
6504,6504,2020,7,1,5,45,694001.1047343331,6464256.237970513
6505,6505,2020,7,1,6,15,694005.7568415086,6464297.016414585
6506,6506,2020,7,1,6,45,693996.9100005529,6464269.809232658
6507,6507,2020,7,1,7,15,693999.7988554327,6464244.476698915
6508,6508,2020,7,1,7,45,694003.538046738,6464256.760539826
6509,6509,2020,7,1,8,15,693945.7650123755,6464228.541269377
6510,6510,2020,7,1,8,45,693964.1824991676,6464253.11541783
6511,6511,2020,7,1,9,15,693979.879316719,6464310.506623259
6512,6512,2020,7,1,9,45,693977.2721054115,6464315.719950213
6513,6513,2020,7,1,10,15,693926.0644983727,6464343.517048045
6514,6514,2020,7,1,10,45,693903.8158044363,6464310.89474282
6515,6515,2020,7,1,11,15,693911.05404418,6464286.609926391
6516,6516,2020,7,1,11,45,693895.4645986902,6464323.327430519
6517,6517,2020,7,1,12,15,693871.5371280421,6464376.397702077
6518,6518,2020,7,1,12,45,693882.6747153349,6464373.453725684
6519,6519,2020,7,1,13,15,693858.6766704237,6464413.464214291
6520,6520,2020,7,1,13,45,693893.7425453366,6464443.124331165
6521,6521,2020,7,1,14,15,693912.8989001713,6464391.417966796
6522,6522,2020,7,1,14,45,693911.8633271324,6464346.927205194
6523,6523,2020,7,1,15,15,693902.6583103903,6464358.40784472
6524,6524,2020,7,1,15,45,693904.3997471659,6464349.812589938
6525,6525,2020,7,1,16,15,693890.8373230379,6464352.041123063
6526,6526,2020,7,1,16,45,693908.2559903099,6464368.0454447735
6527,6527,2020,7,1,17,15,693892.0578185302,6464343.577761337
6528,6528,2020,7,1,17,45,693875.4519445226,6464324.850934626
6529,6529,2020,7,1,18,15,693884.1911339178,6464326.764959211
6530,6530,2020,7,1,21,45,693934.6682280469,6464073.806361549
6531,6531,2020,7,1,22,15,693947.3413650796,6464140.417423511
6532,6532,2020,7,1,22,45,693942.2031143904,6464206.875615627
6533,6533,2020,7,1,23,45,693941.4234437498,6464093.805223015
6534,6534,2020,7,2,0,15,693912.9063276551,6464135.302021705
6535,6535,2020,7,2,2,45,693964.0054647068,6464209.97406793
6536,6536,2020,7,2,3,15,693972.5558568911,6464262.8660509065
6537,6537,2020,7,2,3,45,693973.1942209355,6464291.264040699
6538,6538,2020,7,2,4,15,693983.1402001015,6464322.278210142
6539,6539,2020,7,2,4,45,693980.5505376348,6464319.378763136
6540,6540,2020,7,2,5,15,693949.8951722259,6464331.539889316
6541,6541,2020,7,2,5,45,693953.1571423032,6464342.495453142
6542,6542,2020,7,2,6,15,693966.7743831506,6464334.821013917
6543,6543,2020,7,2,6,45,693970.2438766911,6464317.597796155
6544,6544,2020,7,2,7,15,693973.2607848108,6464381.888783892
6545,6545,2020,7,2,7,45,693988.0909424754,6464318.001450016
6546,6546,2020,7,2,8,15,693984.4730905488,6464294.618699498
6547,6547,2020,7,2,8,45,693991.3262250777,6464352.6990054045
6548,6548,2020,7,2,9,15,693972.3914202973,6464317.043288721
6549,6549,2020,7,2,9,45,693970.4458763301,6464378.514603627
6550,6550,2020,7,2,10,15,693915.9244194994,6464334.71822864
6551,6551,2020,7,2,10,45,693974.4723214771,6464350.567672086
6552,6552,2020,7,2,11,15,693980.0376793748,6464318.55611928
6553,6553,2020,7,2,11,45,693980.8161897359,6464369.290315894
6554,6554,2020,7,2,12,15,694011.8589177205,6464326.274888994
6555,6555,2020,7,2,12,45,694006.2235799212,6464365.243102063
6556,6556,2020,7,2,13,15,694016.1327376162,6464375.7189734485
6557,6557,2020,7,2,13,45,694034.764138341,6464331.628030151
6558,6558,2020,7,2,14,15,694063.5609871575,6464297.296529086
6559,6559,2020,7,2,14,45,694099.7374950771,6464221.285313122
6560,6560,2020,7,2,16,45,694050.2616994124,6464271.405937477
6561,6561,2020,7,2,19,15,694000.8928419776,6464215.915785316
6562,6562,2020,7,2,19,45,693975.0991342939,6464247.767242429
6563,6563,2020,7,2,20,15,693976.0679070504,6464168.610338
6564,6564,2020,7,2,20,45,693929.5283745241,6464264.327515099
6565,6565,2020,7,2,21,15,693884.6241503372,6464346.071728794
6566,6566,2020,7,2,21,45,693849.4972378575,6464351.897678922
6567,6567,2020,7,2,22,15,693864.2302590983,6464334.75999364
6568,6568,2020,7,2,22,45,693882.10015895,6464348.674895563
6569,6569,2020,7,2,23,15,693876.9126557396,6464292.028614682
6570,6570,2020,7,2,23,45,693868.4547183195,6464282.247083786
6571,6571,2020,7,3,0,15,693835.4641875433,6464205.391998823
6572,6572,2020,7,3,0,45,693888.2527817346,6464208.454490743
6573,6573,2020,7,3,1,15,693896.6577639383,6464176.96068742
6574,6574,2020,7,3,1,45,693910.0126947653,6464253.503418335
6575,6575,2020,7,3,2,15,693904.1348048386,6464269.224717949
6576,6576,2020,7,3,2,45,693906.3596434239,6464276.326166538
6577,6577,2020,7,3,3,15,693944.268337222,6464300.667382714
6578,6578,2020,7,3,3,45,693959.5656372563,6464326.355784081
6579,6579,2020,7,3,4,15,693955.2180062326,6464305.384300193
6580,6580,2020,7,3,4,45,693972.2841864626,6464301.837694904
6581,6581,2020,7,3,5,15,693977.479300959,6464359.59945661
6582,6582,2020,7,3,5,45,693968.3914478633,6464359.33961715
6583,6583,2020,7,3,6,15,693965.8491388035,6464361.114771012
6584,6584,2020,7,3,6,45,693917.7899166112,6464299.331524245
6585,6585,2020,7,3,7,15,693963.0700072579,6464371.367236818
6586,6586,2020,7,3,7,45,693960.6966232945,6464347.460212081
6587,6587,2020,7,3,8,15,693952.2158445904,6464333.766208673
6588,6588,2020,7,3,8,45,693945.383477118,6464364.095318884
6589,6589,2020,7,3,9,15,693932.9250764773,6464379.305542809
6590,6590,2020,7,3,9,45,693880.7208463161,6464279.853232984
6591,6591,2020,7,3,10,15,693951.9401775603,6464335.943045929
6592,6592,2020,7,3,10,45,693938.3111826895,6464282.476854614
6593,6593,2020,7,3,11,15,693963.1094183131,6464340.436292955
6594,6594,2020,7,3,11,45,693982.3892628902,6464354.612689756
6595,6595,2020,7,3,12,15,693955.9100018811,6464319.753957778
6596,6596,2020,7,3,12,45,693971.0403252691,6464364.37825594
6597,6597,2020,7,3,13,15,693949.0864806299,6464330.19198661
6598,6598,2020,7,3,13,45,693952.555519459,6464372.523736545
6599,6599,2020,7,3,14,15,693920.3834541282,6464344.487638565
6600,6600,2020,7,3,14,45,693928.1430045275,6464379.304518959
6601,6601,2020,7,3,15,15,693902.3967507964,6464378.523713084
6602,6602,2020,7,3,15,45,693928.8626817527,6464375.676309123
6603,6603,2020,7,3,16,15,693883.9743809222,6464406.906362095
6604,6604,2020,7,3,16,45,693822.0569907335,6464419.613344845
6605,6605,2020,7,3,17,15,693831.6285465359,6464384.949087176
6606,6606,2020,7,4,6,15,694074.9593443024,6464362.6273872005
6607,6607,2020,7,4,7,15,694056.6045529457,6464327.467559104
6608,6608,2020,7,4,7,45,693936.4154882773,6464282.606803027
6609,6609,2020,7,4,8,15,693956.781811678,6464340.758420489
6610,6610,2020,7,4,8,45,693947.7412328344,6464347.046749568
6611,6611,2020,7,4,9,15,693983.4958287098,6464365.121392428
6612,6612,2020,7,4,9,45,693944.8672321404,6464354.055965342
6613,6613,2020,7,4,10,15,693983.45316087,6464344.598227313
6614,6614,2020,7,4,10,45,693974.556471222,6464350.957746207
6615,6615,2020,7,4,11,15,693966.4479572866,6464320.002539966
6616,6616,2020,7,4,11,45,693968.5007070813,6464332.2435326455
6617,6617,2020,7,4,12,15,693957.0367231547,6464306.251567133
6618,6618,2020,7,4,12,45,693974.2187843573,6464330.434975127
6619,6619,2020,7,4,13,15,693978.5645216499,6464316.472573355
6620,6620,2020,7,4,13,45,693982.6494003776,6464325.918385798
6621,6621,2020,7,4,14,15,693969.8756822015,6464340.691637407
6622,6622,2020,7,4,14,45,693938.11475026,6464326.484702049
6623,6623,2020,7,4,15,15,693958.8866880373,6464302.204378309
6624,6624,2020,7,4,15,45,693964.6445618459,6464294.852731041
6625,6625,2020,7,4,16,15,693958.8890682926,6464267.301759399
6626,6626,2020,7,4,16,45,693996.3325779542,6464280.909635588
6627,6627,2020,7,4,17,15,694011.3270495234,6464218.737218393
6628,6628,2020,7,4,17,45,694034.3450064433,6464252.288339005
6629,6629,2020,7,4,18,15,694046.5263698363,6464189.759795208
6630,6630,2020,7,4,18,45,694025.4472144678,6464158.175751017
6631,6631,2020,7,4,19,15,693991.000927354,6464222.29769534
6632,6632,2020,7,4,19,45,693954.7978662181,6464279.949095525
6633,6633,2020,7,4,20,15,693943.1051268254,6464199.030185347
6634,6634,2020,7,4,20,45,694019.2890285554,6464169.230457084
6635,6635,2020,7,4,21,15,694034.1987836731,6464120.161299812
6636,6636,2020,7,5,1,15,693928.8354027543,6464346.187837792
6637,6637,2020,7,5,1,45,693946.5440390288,6464248.080573132
6638,6638,2020,7,5,2,15,694002.3996240709,6464249.911706934
6639,6639,2020,7,5,2,45,694004.7772651148,6464249.683282452
6640,6640,2020,7,5,3,15,694003.596044996,6464245.931673836
6641,6641,2020,7,5,3,45,693995.7078466932,6464247.620970431
6642,6642,2020,7,5,4,15,693992.5114211936,6464239.532261458
6643,6643,2020,7,5,4,45,693985.5997185567,6464238.291136106
6644,6644,2020,7,5,5,15,693986.4183240824,6464285.679957165
6645,6645,2020,7,5,5,45,693975.0992396899,6464207.034626657
6646,6646,2020,7,5,6,15,693983.4561118121,6464285.017149631
6647,6647,2020,7,5,6,45,693980.6786822032,6464301.936283198
6648,6648,2020,7,5,7,15,693976.7279806127,6464340.990707202
6649,6649,2020,7,5,7,45,693957.0410628179,6464266.960593308
6650,6650,2020,7,5,8,15,693971.9537003872,6464242.8394062
6651,6651,2020,7,5,8,45,693984.5206050562,6464328.15313023
6652,6652,2020,7,5,9,15,693950.0639919867,6464277.308005662
6653,6653,2020,7,5,9,45,693968.8768635021,6464321.443374047
6654,6654,2020,7,5,10,15,693952.3608766258,6464312.688105561
6655,6655,2020,7,5,10,45,693963.5989776033,6464329.760881216
6656,6656,2020,7,5,11,15,693974.9102673775,6464297.963339627
6657,6657,2020,7,5,11,45,693978.9910978934,6464299.610270452
6658,6658,2020,7,5,12,15,693934.7416388611,6464238.078155388
6659,6659,2020,7,5,12,45,693995.4069075412,6464339.106736516
6660,6660,2020,7,5,13,15,693997.1449856465,6464290.335080414
6661,6661,2020,7,5,13,45,693983.6018970447,6464287.368548431
6662,6662,2020,7,5,14,15,693960.3176415561,6464253.096420714
