,Unnamed: 0,yyyy,mm,day,HH_UTC,MM,x,y
9368,9368,2015,12,1,0,15,693965.7748657508,6464275.134065046
9369,9369,2015,12,1,0,45,693956.2718525451,6464233.986602116
9370,9370,2015,12,1,1,15,693955.2043628384,6464271.380295265
9371,9371,2015,12,1,1,45,693955.6705701266,6464284.379780964
9372,9372,2015,12,1,2,15,693920.4962577379,6464293.997910171
9373,9373,2015,12,1,2,45,693880.5555260648,6464224.284749658
9374,9374,2015,12,1,3,15,693892.2551970843,6464285.256735517
9375,9375,2015,12,1,3,45,693874.0268699386,6464299.778732145
9376,9376,2015,12,1,4,15,693877.6390960363,6464267.3111893935
9377,9377,2015,12,1,4,45,693843.955684566,6464229.258658379
9378,9378,2015,12,1,5,15,693841.6105463912,6464205.444813634
9379,9379,2015,12,1,5,45,693817.3842051899,6464228.812457384
9380,9380,2015,12,1,8,15,693857.2502353137,6464258.900690498
9381,9381,2015,12,1,8,45,693855.8761774278,6464293.563082088
9382,9382,2015,12,1,9,15,693836.6188799684,6464284.367991074
9383,9383,2015,12,1,9,45,693883.9285306222,6464316.964591001
9384,9384,2015,12,1,10,15,693883.8564406603,6464347.48392716
9385,9385,2015,12,1,10,45,693880.8398756965,6464362.544141646
9386,9386,2015,12,1,11,15,693877.634147936,6464375.392539782
9387,9387,2015,12,1,11,45,693868.0997041557,6464388.88448459
9388,9388,2015,12,1,12,15,693869.4309373096,6464365.285849158
9389,9389,2015,12,1,12,45,693876.2051247264,6464393.837542449
9390,9390,2015,12,1,13,15,693872.4440451397,6464399.660985152
9391,9391,2015,12,1,13,45,693841.6744714885,6464361.278945289
9392,9392,2015,12,1,14,15,693874.1647664058,6464366.00925311
9393,9393,2015,12,1,14,45,693841.9895292997,6464363.257409942
9394,9394,2015,12,1,15,15,693880.2422137042,6464388.3140173005
9395,9395,2015,12,1,15,45,693871.1157908445,6464386.019843599
9396,9396,2015,12,1,16,15,693864.6153681921,6464403.733533904
