,Unnamed: 0,yyyy,mm,day,HH_UTC,MM,x,y
6864,6864,2015,9,1,6,15,694273.0531984791,6464322.4096034495
6865,6865,2015,9,1,6,45,694161.8027659558,6464333.284516437
6866,6866,2015,9,1,10,15,694211.9846867415,6464378.463717014
6867,6867,2015,9,1,11,45,694201.265132084,6464405.604993576
6868,6868,2015,9,1,12,15,694247.5626910619,6464416.175725409
6869,6869,2015,9,1,12,45,694238.1140334104,6464373.547604973
6870,6870,2015,9,1,13,15,694219.1047326244,6464371.352542276
6871,6871,2015,9,1,13,45,694270.3724092293,6464388.50713651
6872,6872,2015,9,1,14,15,694257.7070968924,6464411.920341062
6873,6873,2015,9,1,14,45,694307.2840226816,6464361.283113863
6874,6874,2015,9,1,15,15,694330.8665425421,6464432.93130365
6875,6875,2015,9,1,16,15,694327.0193617349,6464462.917299924
6876,6876,2015,9,1,16,45,694264.6681877326,6464499.247156754
6877,6877,2015,9,1,17,15,694305.6156410463,6464496.029502853
6878,6878,2015,9,1,17,45,694239.1173364796,6464484.008330165
6879,6879,2015,9,1,18,15,694236.0125465057,6464485.007781673
6880,6880,2015,9,1,18,45,694235.8483111646,6464494.60436706
6881,6881,2015,9,1,19,45,694249.9381608462,6464474.40029912
6882,6882,2015,9,1,20,15,694247.4384801725,6464485.865138739
6883,6883,2015,9,1,20,45,694221.8852925301,6464497.821277662
6884,6884,2015,9,1,21,15,694263.0336156704,6464477.3442944
6885,6885,2015,9,1,21,45,694217.4387255725,6464488.53434895
6886,6886,2015,9,1,22,15,694207.011230099,6464504.624599987
6887,6887,2015,9,1,22,45,694234.6622197942,6464505.990241138
6888,6888,2015,9,1,23,15,694209.2675441591,6464497.781441006
6889,6889,2015,9,1,23,45,694192.7383695495,6464486.679941117
6890,6890,2015,9,2,0,15,694215.3518830582,6464494.89139909
6891,6891,2015,9,2,0,45,694219.5143637243,6464497.827888591
6892,6892,2015,9,2,1,15,694210.6171339928,6464495.348499076
6893,6893,2015,9,2,1,45,694228.4251679841,6464479.371295054
6894,6894,2015,9,2,2,15,694182.167502346,6464485.463905499
6895,6895,2015,9,2,2,45,694199.1825864562,6464494.600211995
6896,6896,2015,9,2,3,15,694203.5894370123,6464498.716452019
6897,6897,2015,9,2,3,45,694224.1335206353,6464526.681378651
6898,6898,2015,9,2,4,45,694210.2167233091,6464515.06304733
6899,6899,2015,9,2,5,15,694249.6406183757,6464521.792827896
6900,6900,2015,9,2,5,45,694180.2577674735,6464488.537472466
6901,6901,2015,9,2,6,15,694187.6834447725,6464491.418939197
6902,6902,2015,9,2,6,45,694135.525661605,6464469.533007012
6903,6903,2015,9,2,7,15,694195.9148602141,6464499.509415611
6904,6904,2015,9,2,7,45,694166.1381014301,6464471.276943026
